Name,Acres,Date,Month_Year
August Complex,"1,032,648",2020-08-01,August 2020
Dixie,"963,309",2021-07-01,July 2021
Mendocino Complex,"459,123",2018-07-01,July 2018
SCU Lightning Complex,"396,625",2020-08-01,August 2020
Creek,"379,895",2020-09-01,September 2020
LNU Lightning Complex,"363,220",2020-08-01,August 2020
North Complex,"318,935",2020-08-01,August 2020
Thomas,"281,893",2017-12-01,December 2017
Cedar,"273,246",2003-10-01,October 2003
Rush,"271,911",2012-08-01,August 2012
Rim,"257,314",2013-08-01,August 2013
Zaca,"240,207",2007-07-01,July 2007
Carr,"229,651",2018-07-01,July 2018
Monument,"223,124",2021-07-01,July 2021
Caldor,"221,835",2021-08-01,August 2021
Matilija,"220,000",1932-09-01,September 1932
River Complex,"199,359",2021-07-01,July 2021
Witch,"197,990",2007-10-01,October 2007
Klamath Theater Complex,"192,038",2008-06-01,June 2008
Marble Cone,"177,866",1977-07-01,July 1977
