Name,Acres,Date,Counties
August Complex,"1,032,648",August 2020,"Mendocino, Humboldt, Trinity, Tehama, Glenn, Lake, Colusa"
Dixie,"963,309",July 2021,"Butte, Plumas, Lassen, Shasta, Tehama"
Mendocino Complex,"459,123",July 2018,"Colusa, Lake, Mendocino, Glenn"
SCU Lightning Complex,"396,625",August 2020,"Stanislaus, Santa Clara, Alameda, Contra Costa, San Joaquin"
Creek,"379,895",September 2020,"Fresno, Madera"
LNU Lightning Complex,"363,220",August 2020,"Napa, Solano, Sonoma, Yolo, Lake, Colusa"
North Complex,"318,935",August 2020,"Butte, Plumas, Yuba"
Thomas,"281,893",December 2017,"Ventura, Santa Barbara"
Cedar,"273,246",October 2003,San Diego
Rush,"271,911",August 2012,Lassen
Rim,"257,314",August 2013,Tuolumne
Zaca,"240,207",July 2007,Santa Barbara
Carr,"229,651",July 2018,"Shasta, Trinity"
Monument,"223,124",July 2021,Trinity
Caldor,"221,835",August 2021,"Alpine, Amador, El Dorado"
Matilija,"220,000",September 1932,Ventura
River Complex,"199,359",July 2021,"Siskiyou, Trinity"
Witch,"197,990",October 2007,San Diego
Klamath Theater Complex,"192,038",June 2008,Siskiyou
Marble Cone,"177,866",July 1977,Monterey
