Name,Deaths,Date,Counties
Camp Fire (Paradise),85,November 2018,Butte
Griffith Park,29,October 1933,Los Angeles
Tunnel (Oakland Hills),25,October 1991,Alameda
Tubbs,22,October 2017,"Napa, Sonoma"
North Complex,15,August 2020,"Butte, Plumas, Yuba"
Cedar,15,October 2003,San Diego
Rattlesnake,15,July 1953,Glenn
Loop,12,November 1966,Los Angeles
Hauser Creek,11,October 1943,San Diego
Inaja,11,November 1956,San Diego
Iron Alps Complex,10,August 2008,Trinity
Redwood Valley,9,October 2017,Mendocino
Harris,8,October 2007,San Diego
Canyon,8,August 1968,Los Angeles
Carr,7,July 2018,"Shasta, Trinity"
LNU Lightning Complex,6,August 2020,"Napa, Sonoma, Yolo, Stanislaus, Lake"
Atlas,6,October 2017,"Napa, Solano"
Old,6,October 2003,San Bernardino
Decker,6,August 1959,Riverside
Hacienda,6,September 1955,Los Angeles
